"Date","Latitude","Longitude","Matrix","Subregion","cadmium","copper","mercury","selenium"
1998-02-04,38.020542,-121.806266784668,"water","Confluence",0.0118,1.8609,0.00958,0.159
1998-02-04,38.0597,-121.811264038086,"water","Confluence",0.0494,1.3108,0.0189,0.137
1998-02-05,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.55
1998-02-11,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.72
1998-02-18,38.434929,-121.525161743164,"water","Sacramento River",0.033,1.7,0.0107,NA
1998-02-18,38.459202,-121.50309753418,"water","Sacramento River",0.03,4.82,0.00174,NA
1998-02-19,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.62
1998-02-26,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.5
1998-03-05,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.77
1998-03-12,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.2
1998-03-16,38.434929,-121.525161743164,"water","Sacramento River",0.066,0.625,0.0232,NA
1998-03-16,38.459202,-121.50309753418,"water","Sacramento River",0.063,9.36,0.00134,NA
1998-03-19,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.26
1998-03-26,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.08
1998-04-02,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.92
1998-04-09,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.86
1998-04-15,38.050999,-122.098999023438,"water","SW Suisun",0.0062,1.3273,0.00197,0.31
1998-04-15,38.067001,-121.93399810791,"water","NE Suisun",0.0058,1.3264,0.00157,0.21
1998-04-15,38.116001,-122.040000915527,"water","NW Suisun",0.0054,1.1959,0.012,0.2
1998-04-16,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.62
1998-04-16,38.020542,-121.806266784668,"water","Confluence",0.0143,2.4678,0.00698,0.37
1998-04-16,38.0597,-121.811264038086,"water","Confluence",0.0045,3.1609,0.00152,0.27
1998-04-21,38.434929,-121.525161743164,"water","Sacramento River",0.009,NA,NA,NA
1998-04-21,38.459202,-121.50309753418,"water","Sacramento River",0.009,NA,NA,NA
1998-04-22,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.67
1998-04-22,38.434929,-121.525161743164,"water","Sacramento River",0.051,1.41,0.00099,NA
1998-04-22,38.459202,-121.50309753418,"water","Sacramento River",0.046,1.33,0.00117,NA
1998-04-29,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.7
1998-05-07,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.89
1998-05-13,37.675556,-121.264167785645,"water","South Delta",NA,2.1,NA,0.54
1998-05-20,38.459202,-121.50309753418,"water","Sacramento River",0.006,NA,NA,NA
1998-05-21,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.51
1998-05-21,38.434929,-121.525161743164,"water","Sacramento River",0.035,1.02,0.00094,NA
1998-05-21,38.459202,-121.50309753418,"water","Sacramento River",0.037,1.13,0.0084,NA
1998-05-28,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.76
1998-06-04,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.66
1998-06-11,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.58
1998-06-18,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.29
1998-06-23,38.434929,-121.525161743164,"water","Sacramento River",0.04,0.29,0.0013,NA
1998-06-23,38.459202,-121.50309753418,"water","Sacramento River",0.027,0.27,0.00104,NA
1998-06-24,37.675556,-121.264167785645,"water","South Delta",NA,2.3,NA,0.45
1998-06-24,38.434929,-121.525161743164,"water","Sacramento River",0.009,NA,NA,NA
1998-07-02,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.36
1998-07-09,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.42
1998-07-16,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.35
1998-07-22,38.434929,-121.525161743164,"water","Sacramento River",0.04,1.63,0.00093,NA
1998-07-22,38.459202,-121.50309753418,"water","Sacramento River",0.035,1.46,0.00588,NA
1998-07-23,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.56
1998-07-28,38.050999,-122.098999023438,"water","SW Suisun",0.048,1.4092,0.00077,0.22
1998-07-28,38.067001,-121.93399810791,"water","NE Suisun",0.041,1.3757,0.00195,0.15
1998-07-28,38.116001,-122.040000915527,"water","NW Suisun",0.00644456,15.3472,0.00084,0.27
1998-07-29,38.020542,-121.806266784668,"water","Confluence",0.00639412,1.4192,0.00107,0.19
