"Date","Latitude","Longitude","Matrix","Subregion","fipronil","fipronil_desulfinyl","fipronil_desulfinyl_amide","fipronil_sulfide","fipronil_sulfone"
2010-06-15,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2010-07-07,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2010-07-20,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2010-08-05,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2010-08-19,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2010-09-09,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2010-09-29,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2010-10-25,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2010-10-26,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2010-11-08,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2010-11-09,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2010-12-14,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2010-12-15,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2010-12-28,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2010-12-29,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2011-01-11,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2011-01-13,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2011-01-25,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2011-01-26,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2011-02-09,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2011-02-10,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2011-02-22,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2011-02-28,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2011-03-15,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2011-03-16,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2011-03-30,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2011-04-05,38.11708,-122.0397,"water","NW Suisun",0,0,NA,NA,NA
2011-04-11,38.04278,-121.9201,"water","SE Suisun",0,0,NA,NA,NA
2011-04-11,38.36771,-121.5205,"water","Sacramento River",0,0,NA,NA,NA
