"Date","Latitude","Longitude","Matrix","Subregion","esfenvalerate","cyfluthrin","bifenthrin"
2011-05-31,38.24633,-121.7080994,"water","North Delta",0,0,0
2011-05-31,38.25528,-121.6669998,"water","North Delta",0,0,0
2011-05-31,38.27375,-121.6773605,"water","North Delta",0,0,0
2011-05-31,38.277748,-121.7101593,"water","North Delta",0,0,0
2011-05-31,38.293228,-121.7408676,"water","North Delta",0,0,0
2011-06-01,38.04278,-121.92013,"water","Confluence",0,0,0
2011-06-01,38.36771,-121.5205,"water","Sacramento River",0,0,0
2011-06-05,38.234798,-121.681282,"water","North Delta",0,0,0
2011-06-05,38.24633,-121.7080994,"water","North Delta",0,0,0
2011-06-05,38.25528,-121.6669998,"water","North Delta",0,0,0
2011-06-05,38.27375,-121.6773605,"water","North Delta",0,0,0
2011-06-05,38.277748,-121.7101593,"water","North Delta",0,0,0
2011-06-05,38.293228,-121.7408676,"water","North Delta",0,0,0
2011-06-06,38.04278,-121.92013,"water","Confluence",0,0,0
2011-06-06,38.36771,-121.5205,"water","Sacramento River",0,0,0
2011-06-07,38.11708,-122.03972,"water","Suisun Bay",0,0,0
2011-06-07,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2011-06-09,38.234798,-121.681282,"water","North Delta",0,0,0
2011-06-13,38.04278,-121.92013,"water","Confluence",0,0,0
2011-06-13,38.36771,-121.5205,"water","Sacramento River",0,0,0
2011-06-21,38.234798,-121.681282,"water","North Delta",0,0,0
2011-06-21,38.24633,-121.7080994,"water","North Delta",0,0,0
2011-06-21,38.25528,-121.6669998,"water","North Delta",0,0,0
2011-06-21,38.27375,-121.6773605,"water","North Delta",0,0,0
2011-06-21,38.277748,-121.7101593,"water","North Delta",0,0,0
2011-06-21,38.293228,-121.7408676,"water","North Delta",0,0,0
2011-06-23,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2011-07-05,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2011-08-09,38.55113,-121.62769,"water","North Delta",0,0,0
2011-08-09,38.55234,-121.62917,"water","North Delta",0,0,0
2011-08-10,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2011-08-10,38.55113,-121.62769,"water","North Delta",0,0,0
2011-08-10,38.55234,-121.62917,"water","North Delta",0,0,0
2011-09-08,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2011-09-29,38.55006,-121.62608,"water","North Delta",0,0,0
2011-09-29,38.55234,-121.62917,"water","North Delta",0,0,0
2011-09-30,38.55006,-121.62608,"water","North Delta",0,0,0
2011-09-30,38.55234,-121.62917,"water","North Delta",0,0,0.003
2011-10-05,38.459202,-121.5030975,"water","Sacramento River",0,0,0
2011-10-25,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2011-12-08,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2011-12-29,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2012-01-05,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2012-01-18,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2012-01-21,37.99151,-121.7083,"water","Confluence",0,0,0.272
2012-01-21,38.459202,-121.5030975,"water","Sacramento River",0,0,0
