"Date","Latitude","Longitude","Matrix","Subregion","atrazine","imidacloprid","glyphosate","clothianidin"
1993-01-16,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-01-17,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-01-20,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-01-21,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-01-25,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-01-25,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-01-28,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-01-29,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-01-30,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-02-01,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-02-01,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-02-02,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-02-03,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-02-03,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-02-05,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-02-05,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-02-08,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-02-12,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-02-15,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-02-16,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-02-19,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-02-20,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-02-23,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-02-28,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-02-28,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-03-01,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-03-02,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-03-02,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-03-05,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-03-05,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-03-06,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-03-06,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-03-07,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-03-08,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-03-09,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-03-09,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-03-11,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-03-11,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-03-12,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-03-12,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-03-14,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-03-15,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-03-16,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-03-17,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-03-21,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-03-23,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-03-24,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-03-24,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-03-25,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-03-29,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-04-02,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-04-05,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-04-05,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-04-07,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-04-07,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-04-08,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-04-09,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-04-09,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-04-12,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-04-18,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-04-21,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-04-23,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-04-26,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-04-27,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-04-28,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-05-07,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-05-10,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-05-17,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-05-26,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-05-28,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-05-30,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-06-03,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-06-07,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-06-07,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-06-09,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-06-11,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-06-14,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-06-18,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-06-23,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-06-23,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-06-25,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-06-29,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-07-01,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-07-02,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-07-05,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-07-12,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-07-13,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-07-14,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-07-15,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-07-16,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-07-19,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-07-21,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
