"Subregion","Season","Turbidity_NTU","Analyte","Unit"
"Sacramento River","Winter",27,"turbidity","NTU"
"South Delta","Winter",4.7,"turbidity","NTU"
"Central Delta","Winter",10,"turbidity","NTU"
"Central Delta","Winter",11,"turbidity","NTU"
"Central Delta","Winter",45,"turbidity","NTU"
"North Delta","Winter",15,"turbidity","NTU"
"Central Delta","Winter",9.3,"turbidity","NTU"
"South Delta","Winter",2.8,"turbidity","NTU"
"Central Delta","Winter",270,"turbidity","NTU"
"Sacramento River","Winter",28,"turbidity","NTU"
"North Delta","Winter",25,"turbidity","NTU"
"North Delta","Winter",3.5,"turbidity","NTU"
"Sacramento River","Winter",61.5,"turbidity","NTU"
"Central Delta","Winter",3.67,"turbidity","NTU"
"Central Delta","Winter",20,"turbidity","NTU"
"Central Delta","Winter",75,"turbidity","NTU"
"South Delta","Winter",9.3,"turbidity","NTU"
"North Delta","Winter",23,"turbidity","NTU"
"Sacramento River","Winter",50,"turbidity","NTU"
"North Delta","Winter",16,"turbidity","NTU"
"Sacramento River","Winter",11,"turbidity","NTU"
"Central Delta","Spring",55,"turbidity","NTU"
"South Delta","Spring",30,"turbidity","NTU"
"Central Delta","Spring",6.4,"turbidity","NTU"
"North Delta","Spring",16,"turbidity","NTU"
"North Delta","Spring",35,"turbidity","NTU"
"Sacramento River","Spring",27,"turbidity","NTU"
"Central Delta","Spring",11,"turbidity","NTU"
"South Delta","Spring",14,"turbidity","NTU"
"Central Delta","Spring",65,"turbidity","NTU"
"Sacramento River","Spring",12,"turbidity","NTU"
"Sacramento River","Spring",14,"turbidity","NTU"
"North Delta","Spring",12,"turbidity","NTU"
"North Delta","Spring",4.1,"turbidity","NTU"
"Central Delta","Spring",4.85,"turbidity","NTU"
"Sacramento River","Spring",7.18,"turbidity","NTU"
"Sacramento River","Spring",18,"turbidity","NTU"
"North Delta","Spring",80,"turbidity","NTU"
"North Delta","Spring",3.5,"turbidity","NTU"
"South Delta","Spring",11,"turbidity","NTU"
"Central Delta","Spring",65,"turbidity","NTU"
"Central Delta","Spring",13,"turbidity","NTU"
"Central Delta","Summer",4.9,"turbidity","NTU"
"Confluence","Summer",8.7,"turbidity","NTU"
"Central Delta","Summer",4.8,"turbidity","NTU"
"Central Delta","Summer",6.4,"turbidity","NTU"
"Central Delta","Summer",5.8,"turbidity","NTU"
"Sacramento River","Summer",20,"turbidity","NTU"
"North Delta","Summer",22,"turbidity","NTU"
"North Delta","Summer",4.8,"turbidity","NTU"
"Central Delta","Summer",17,"turbidity","NTU"
"South Delta","Summer",7.5,"turbidity","NTU"
"Central Delta","Summer",30,"turbidity","NTU"
"Central Delta","Summer",3,"turbidity","NTU"
"Central Delta","Summer",4.7,"turbidity","NTU"
"Confluence","Summer",8.6,"turbidity","NTU"
"Central Delta","Summer",4.4,"turbidity","NTU"
"Central Delta","Summer",4.2,"turbidity","NTU"
"North Delta","Summer",8,"turbidity","NTU"
"Sacramento River","Summer",22,"turbidity","NTU"
"North Delta","Summer",39,"turbidity","NTU"
"South Delta","Summer",26.9,"turbidity","NTU"
"South Delta","Summer",20.2,"turbidity","NTU"
"South Delta","Summer",27.1,"turbidity","NTU"
"South Delta","Summer",20.2,"turbidity","NTU"
"Central Delta","Summer",19,"turbidity","NTU"
"Central Delta","Summer",28,"turbidity","NTU"
"South Delta","Summer",3.7,"turbidity","NTU"
"Central Delta","Summer",4.52,"turbidity","NTU"
"Sacramento River","Summer",8.05,"turbidity","NTU"
"Central Delta","Summer",19.2,"turbidity","NTU"
"North Delta","Summer",32,"turbidity","NTU"
"North Delta","Summer",6.3,"turbidity","NTU"
"Sacramento River","Summer",33,"turbidity","NTU"
"Central Delta","Summer",8,"turbidity","NTU"
"Central Delta","Summer",6.3,"turbidity","NTU"
"Central Delta","Summer",6.7,"turbidity","NTU"
"Confluence","Summer",13,"turbidity","NTU"
"Central Delta","Summer",4,"turbidity","NTU"
"Central Delta","Summer",18,"turbidity","NTU"
"South Delta","Summer",3.3,"turbidity","NTU"
"Central Delta","Summer",12,"turbidity","NTU"
"Central Delta","Fall",5.1,"turbidity","NTU"
"Central Delta","Fall",6,"turbidity","NTU"
"Central Delta","Fall",5.6,"turbidity","NTU"
"Confluence","Fall",8.6,"turbidity","NTU"
"Central Delta","Fall",3.7,"turbidity","NTU"
"Central Delta","Fall",7.4,"turbidity","NTU"
"South Delta","Fall",2.1,"turbidity","NTU"
"Sacramento River","Fall",31,"turbidity","NTU"
"North Delta","Fall",5.8,"turbidity","NTU"
"Central Delta","Fall",2.6,"turbidity","NTU"
"Sacramento River","Fall",7.8,"turbidity","NTU"
"Central Delta","Fall",2.4,"turbidity","NTU"
"South Delta","Fall",4.2,"turbidity","NTU"
"Central Delta","Fall",8,"turbidity","NTU"
"Confluence","Fall",5.9,"turbidity","NTU"
"Central Delta","Fall",4.3,"turbidity","NTU"
"Central Delta","Fall",5.2,"turbidity","NTU"
"Sacramento River","Fall",29,"turbidity","NTU"
"Sacramento River","Fall",3.46,"turbidity","NTU"
"Central Delta","Fall",3.47,"turbidity","NTU"
"Sacramento River","Fall",11,"turbidity","NTU"
"North Delta","Fall",5.7,"turbidity","NTU"
"North Delta","Fall",18,"turbidity","NTU"
"South Delta","Fall",0.45,"turbidity","NTU"
"Central Delta","Fall",11,"turbidity","NTU"
"Central Delta","Fall",6.8,"turbidity","NTU"
"Sacramento River","Winter",36,"turbidity","NTU"
"North Delta","Winter",19,"turbidity","NTU"
"North Delta","Winter",2.7,"turbidity","NTU"
"Central Delta","Winter",11,"turbidity","NTU"
"Central Delta","Winter",37,"turbidity","NTU"
"South Delta","Winter",0.55,"turbidity","NTU"
"Central Delta","Winter",30,"turbidity","NTU"
"Central Delta","Winter",5.6,"turbidity","NTU"
"South Delta","Winter",2.5,"turbidity","NTU"
"Sacramento River","Winter",17,"turbidity","NTU"
"North Delta","Winter",300,"turbidity","NTU"
"Sacramento River","Winter",55,"turbidity","NTU"
"North Delta","Winter",21,"turbidity","NTU"
"Central Delta","Winter",3.79,"turbidity","NTU"
"Sacramento River","Winter",19.3,"turbidity","NTU"
"South Delta","Winter",0.25,"turbidity","NTU"
"Central Delta","Winter",5.2,"turbidity","NTU"
"Central Delta","Winter",55,"turbidity","NTU"
"Sacramento River","Winter",23,"turbidity","NTU"
"North Delta","Winter",3.3,"turbidity","NTU"
"North Delta","Winter",22,"turbidity","NTU"
"Sacramento River","Winter",12,"turbidity","NTU"
"Sacramento River","Spring",25,"turbidity","NTU"
"North Delta","Spring",15,"turbidity","NTU"
"North Delta","Spring",34,"turbidity","NTU"
"Central Delta","Spring",6.5,"turbidity","NTU"
"South Delta","Spring",0.5,"turbidity","NTU"
"Central Delta","Spring",65,"turbidity","NTU"
"Central Delta","Spring",5.6,"turbidity","NTU"
"Central Delta","Spring",60,"turbidity","NTU"
"South Delta","Spring",8.5,"turbidity","NTU"
"North Delta","Spring",8.4,"turbidity","NTU"
"North Delta","Spring",17,"turbidity","NTU"
"Sacramento River","Spring",26,"turbidity","NTU"
"Sacramento River","Spring",12,"turbidity","NTU"
"Sacramento River","Spring",5.65,"turbidity","NTU"
"Central Delta","Spring",5.44,"turbidity","NTU"
"North Delta","Spring",22,"turbidity","NTU"
"North Delta","Spring",5,"turbidity","NTU"
"Central Delta","Spring",65,"turbidity","NTU"
"South Delta","Spring",9.4,"turbidity","NTU"
"Central Delta","Spring",22,"turbidity","NTU"
"Sacramento River","Spring",15,"turbidity","NTU"
"Central Delta","Spring",10,"turbidity","NTU"
"Central Delta","Spring",13,"turbidity","NTU"
"Central Delta","Spring",12,"turbidity","NTU"
"Central Delta","Spring",15,"turbidity","NTU"
"Central Delta","Spring",14,"turbidity","NTU"
"Central Delta","Spring",19.4,"turbidity","NTU"
"Sacramento River","Summer",33,"turbidity","NTU"
"North Delta","Summer",2.6,"turbidity","NTU"
"Central Delta","Summer",32,"turbidity","NTU"
